,DateTime,Bit Box_ShYpeak(g),Surface_Total Depth(ft),Surface_Weight on Bit(klbs),Surface_Top Drive RPM(RPM),Surface_Top Drive Torque(ft-lbs)
9006,2020/11/24 02:24:01.000,3.9225181656,5892.0117,3.69554,0.33194,0.0
9007,2020/11/24 02:24:02.000,4.1447312402,5892.0117,3.82108,0.25144,0.0
9008,2020/11/24 02:24:03.000,4.3669443148,5892.0117,4.00413,0.17093,0.0
9009,2020/11/24 02:24:04.000,4.5891573894,5892.0117,3.98948,0.29169,0.0
9010,2020/11/24 02:24:05.000,4.811370464,5892.0117,4.20622,0.17093,0.0
9011,2020/11/24 02:24:06.000,5.0335835386,5892.0117,4.11956,0.27156,0.0
9012,2020/11/24 02:24:07.000,4.9760704573,5892.0117,4.0204,0.1508,0.0
9013,2020/11/24 02:24:08.000,4.9185573761,5892.0117,3.94278,0.19106,0.0
9014,2020/11/24 02:24:09.000,4.8610442948,5892.0117,4.15252,0.31182,0.0
9015,2020/11/24 02:24:10.000,4.8035312136,5892.0117,4.34519,0.21118,0.0
9016,2020/11/24 02:24:11.000,4.7460181323,5892.0117,4.34786,0.11055,0.0
9017,2020/11/24 02:24:12.000,4.0168996544,5892.0117,4.33021,0.21118,0.0
9018,2020/11/24 02:24:13.000,3.2877811765,5892.0117,4.68805,0.23131,0.0
9019,2020/11/24 02:24:14.000,2.5586626985,5892.0117,3.72452,0.1508,0.0
9020,2020/11/24 02:24:15.000,1.8295442206,5892.0117,1.84999,0.37219,0.0
9024,2020/11/24 02:24:19.000,1.1348027356,5892.0117,46.5403,0.0,0.0
9025,2020/11/24 02:24:20.000,1.1462617332,5892.0117,71.58015,0.21118,0.0
9026,2020/11/24 02:24:21.000,1.1577207308,5892.0117,91.65507,0.23131,0.0
9027,2020/11/24 02:24:22.000,1.1768735835,5892.0117,91.65507,0.03004,0.0
9097,2020/11/24 02:25:32.000,1.1724905103,5892.0117,87.04683,0.27156,0.0
9098,2020/11/24 02:25:33.000,1.1687980654,5892.0117,52.69328,0.13068,0.0
9099,2020/11/24 02:25:34.000,1.1651056206,5892.0117,33.84361,0.09042,0.0
9100,2020/11/24 02:25:35.000,1.1614131757,5892.0117,20.02266,0.19106,0.0
9101,2020/11/24 02:25:36.000,1.1577207308,5892.0117,14.26458,0.19106,0.0
9102,2020/11/24 02:25:37.000,1.2572319623,5892.0117,0.69848,0.1508,0.0
9479,2020/11/24 02:32:13.000,4.8658287234,5892.0117,0.22482,0.29169,0.0
9480,2020/11/24 02:32:14.000,4.2042268521,5892.0117,0.52432,0.23131,0.0
9481,2020/11/24 02:32:15.000,3.5426249808,5892.0117,0.74897,0.25144,0.0
9482,2020/11/24 02:32:16.000,2.8810231095,5892.0117,0.90905,0.23131,0.0
9483,2020/11/24 02:32:17.000,2.6016059189,5892.0117,0.82314,0.19106,0.0
9484,2020/11/24 02:32:18.000,2.3221887283,5892.0117,0.37038,0.00992,0.0
9485,2020/11/24 02:32:19.000,2.0427715377,5892.0117,0.01996,0.19106,0.0
9488,2020/11/24 02:32:22.000,1.4357369724,5892.0117,38.82404,0.21118,0.0
9489,2020/11/24 02:32:23.000,1.3875367883,5892.0117,57.55814,0.09042,0.0
9490,2020/11/24 02:32:24.000,1.3393366041,5892.0117,65.48475,0.17093,0.0
9491,2020/11/24 02:32:25.000,1.29113642,5892.0117,72.17463,0.0703,0.0
9492,2020/11/24 02:32:26.000,1.2429362359,5892.0117,83.58681,0.11055,0.0
9493,2020/11/24 02:32:27.000,1.2371885627,5892.0117,96.1208,0.0,0.0
9685,2020/11/24 02:36:11.000,1.2142887419,5892.0117,70.50942,0.03004,0.0
9686,2020/11/24 02:36:12.000,1.6029844218,5892.0117,48.95266,0.0,0.0
9687,2020/11/24 02:36:13.000,1.9916801016,5892.0117,32.95483,0.23131,0.0
9688,2020/11/24 02:36:14.000,2.3803757815,5892.0117,20.44642,0.0,0.0
9689,2020/11/24 02:36:15.000,2.7690714613,5892.0117,7.02875,0.23131,0.0
9751,2020/11/24 02:37:17.000,6.8208585106,5892.0117,0.02248,0.03004,0.0
9752,2020/11/24 02:37:18.000,6.8878298844,5892.0117,0.456,0.11055,0.0
9753,2020/11/24 02:37:19.000,6.9548012583,5892.0117,0.60335,0.0,0.0
9754,2020/11/24 02:37:20.000,7.0217726321,5892.0117,0.73101,0.11055,0.0
9755,2020/11/24 02:37:21.000,7.0887440059,5892.0117,1.03219,0.19106,0.0
9756,2020/11/24 02:37:22.000,7.0007281209,5892.0117,1.23211,0.33194,0.0
9757,2020/11/24 02:37:23.000,6.9127122359,5892.0117,1.3188,0.21118,0.0
9758,2020/11/24 02:37:24.000,6.824696351,5892.0117,1.47552,0.0703,0.0
9759,2020/11/24 02:37:25.000,6.736680466,5892.0117,1.66431,0.27156,0.0
